
 num     #instances         #bytes  class name
 145:           313          15024  org.apache.tomcat.util.modeler.OperationInfo
 146:           614          14736  com.aliyun.openservices.shade.com.alibaba.rocketmq.common.MQVersion$Version
 147:           228          14592  javassist.CtClassType
 148:           224          14336  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
 149:           355          14200  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$AutowiredFieldElement
 150:           291          13968  java.util.WeakHashMap
 151:           343          13720  javassist.bytecode.CodeAttribute
 152:           240          13440  java.lang.invoke.MemberName
 153:           549          13176  sun.reflect.generics.factory.CoreReflectionFactory
 154:           273          13072  [Lcom.hazelcast.nio.Address;
 155:           203          12992  com.fasterxml.jackson.databind.introspect.AnnotatedClass
 156:           798          12768  java.util.HashMap$KeySet
 157:           529          12696  javassist.bytecode.NameAndTypeInfo
 158:           226          12656  java.security.Provider$Service
 159:           197          12608  com.fasterxml.jackson.databind.introspect.BasicBeanDescription
 160:           394          12608  sun.reflect.generics.tree.MethodTypeSignature
 161:           515          12360  org.springframework.util.ConcurrentReferenceHashMap$Entry
 162:           191          12224  java.util.jar.JarFile
 163:           369          11808  com.hazelcast.internal.util.counters.SwCounter$UnsafeSwCounter
 164:           162          11664  org.apache.ibatis.mapping.ResultMapping
 165:           364          11648  java.util.UUID
 166:           480          11520  java.security.Provider$ServiceKey
 167:           477          11448  javassist.bytecode.MethodrefInfo
 168:           235          11280  java.util.zip.Inflater
 169:           233          11184  sun.security.x509.X500Name
 170:           349          11168  java.util.logging.LogManager$LogNode
 171:           198          11088  sun.misc.URLClassPath$JarLoader
 172:           342          10944  com.aliyun.openservices.shade.io.netty.util.Recycler$WeakOrderQueue$Link
 173:           195          10920  org.springframework.core.annotation.AnnotationAttributes
 174:           341          10912  sun.misc.FDBigInteger
 175:           230          10784  [Ljava.beans.PropertyDescriptor;
 176:           449          10776  org.apache.ibatis.scripting.xmltags.IfSqlNode
 177:           333          10656  sun.security.x509.AlgorithmId
